Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
NASDAQ,AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGNG,Global X Aging Population ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AGNT,"AGNT, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGPU,Axe Compute Inc. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGRZ,Agroz Inc. - Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGYS,"Agilysys, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AHCO,AdaptHealth Corp. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AHD,GraniteShares Autocallable HOOD ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AHG,Akso Health Group - American Depositary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIA,iShares Asia 50 ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AIAI,AIAI Holdings Corporation - Class A common stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIBZ,Bitzero Holdings Inc. - Common Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIDX,"20/20 Biolabs, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIFA,"All In FutureTech Alliance, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIFC,AI Financial Corporation - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIFD,TCW Artificial Intelligence ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AIFF,"Firefly Neuroscience, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIFU,AIFU Inc. - Class A Ordinary Share,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIHS,Senmiao Technology Limited - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIIO,Robo.ai Inc. - Class B Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIIOW,Robo.ai Inc. - Warrant,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIIR,Air Global PLC - Ordinary shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIMD,"Ainos, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIMDW,"Ainos, Inc. - warrants",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIMS,Acuitas Small Cap Active ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AIOS,AIOS Tech Inc. - Class A Common Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIOT,"PowerFleet, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIP,"Arteris, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIPI,REX AI Equity Premium Income ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AIPO,Defiance AI & Power Infrastructure ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AIQ,Global X Artificial Intelligence & Technology ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AIRE,reAlpha Tech Corp. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIRG,"Airgain, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIRJ,AirJoule Technologies Corporation - Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIRJW,AirJoule Technologies Corporation - Warrant,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIRO,"AIRO Group Holdings, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIRR,First Trust RBA American Industrial Renaissance ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AIRS,"AirSculpt Technologies, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIRT,"Air T, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIRTP,"Air T, Inc. - Trust Preferred Securities",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AISP,"Airship AI Holdings, Inc - Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AISPW,"Airship AI Holdings, Inc - Warrants",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIX,Defiance US 100 Tech AI Moat ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AIXC,"AIxCrypto Holdings, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AIXI,XIAO-I Corporation - American Depositary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AKAM,"Akamai Technologies, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AKAN,Akanda Corp. - Common Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AKBA,"Akebia Therapeutics, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AKTS,"Aktis Oncology, Inc. - Common stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AKTX,Akari Therapeutics Plc - American Depositary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ALAB,"Astera Labs, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
