Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
AMEX,FSI,Flexible Solutions International Inc. Common Stock (CDA),Stock,,nasdaq_trader_symbol_directory
AMEX,FSP,Franklin Street Properties Corp. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,Stock,,nasdaq_trader_symbol_directory
AMEX,FURY,Fury Gold Mines Limited Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,GAU,Galiano Gold Inc.,Stock,,nasdaq_trader_symbol_directory
AMEX,GBR,"New Concept Energy, Inc Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,GCDT,Green Circle Decarbonize Technology Limited Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,GENC,"Gencor Industries, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,GGN,"GAMCO Global Gold, Natural Resources & Income Trust",Stock,,nasdaq_trader_symbol_directory
AMEX,GGN$B,"GAMCO Global Gold, Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference",Stock,,nasdaq_trader_symbol_directory
AMEX,GLDG,GoldMining Inc. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,GLO,Clough Global Opportunities Fund Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,Stock,,nasdaq_trader_symbol_directory
AMEX,GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,Stock,,nasdaq_trader_symbol_directory
AMEX,GLU$A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,GLU$B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,Stock,,nasdaq_trader_symbol_directory
AMEX,GMTL,Guardian Metal Resources PLC ADS,Stock,,nasdaq_trader_symbol_directory
AMEX,GNS,Genius Group Limited Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,GORO,Gold Resource Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,GPUS,"Hyperscale Data, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,GPUS$D,"Hyperscale Data, Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,GRAF,Graf Global Corp. Class A ordinary shares,Stock,,nasdaq_trader_symbol_directory
AMEX,GRAF.U,"Graf Global Corp. Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",Stock,,nasdaq_trader_symbol_directory
AMEX,GRAF.W,"Graf Global Corp. Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",Stock,,nasdaq_trader_symbol_directory
